clade_name	Home.1.day.1	Home.1.day.2	Home.1.day.3	Home.1.day.4	Home.1.day.5	Home.1.day.6	Home.1.day.7	Home.8.day.1	Home.8.day.2	Home.8.day.3	Home.8.day.4	Home.8.day.5	Home.8.day.6	Home.8.day.7	Home.3.day.1	Home.3.day.2	Home.3.day.3	Home.3.day.4	Home.3.day.5	Home.3.day.6	Home.3.day.7	Home.4.day.1	Home.4.day.2	Home.4.day.3	Home.4.day.4	Home.4.day.5	Home.4.day.6	Home.4.day.7	Home.6.day.1	Home.6.day.2	Home.6.day.3	Home.6.day.4	Home.6.day.5	Home.6.day.6	Home.6.day.7	Home.2.day.1	Home.2.day.2	Home.2.day.3	Home.2.day.4	Home.2.day.5	Home.2.day.6	Home.2.day.7	Home.7.day.1	Home.7.day.2	Home.7.day.3	Home.7.day.4	Home.7.day.5	Home.7.day.6	Home.7.day.7	Home.5.day.1	Home.5.day.2	Home.5.day.3	Home.5.day.4	Home.5.day.5	Home.5.day.6	Home.5.day.7
k__Bacteria|p__Firmicutes	0.00484	0.00414	0.00617	0.00143	0.00784	0.00172	0.00303	0	0	0	0	0	0	0	0.00398	0.01956	0	0.01669	0.01996	0	0	0	0	0	0	0	0	0.005	0	0	0	0	0	0	0	0.29553	0.22756	2.95666	0.22332	0.15846	0.12632	0.10632	0	0.0077	0.02376	0.00628	0	0.04843	0.02122	0	0	0	0	0	0	0
k__Bacteria|p__Nitrospirae	0.00019	0	0.00019	0.00047	0.00137	0.00031	0.00034	0.00039	0.00148	0.00149	0.00102	0	0.00117	0.002	0.01903	0.00866	0.01018	0.00714	0.00485	0.00735	0.00899	0	0.00393	0	0	0	0	0	0	0	0.0007	0	0.00069	0.00184	0.00036	0.08046	0.03013	0.03584	0.04498	0.03379	0.03347	0.0401	0	0.00139	0.00246	0.00142	0	0.00132	0.00052	0.00451	0.00377	0.00163	0.00356	0.0035	0.00347	0.00537
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	34.75102	35.4344	34.19545	33.53296	40.73937	33.09013	36.00667	9.42811	30.4883	27.75138	24.14252	28.61083	26.15686	25.38287	23.30803	27.1106	27.10454	30.38212	31.616	29.74945	28.61765	13.14183	9.77238	9.24703	15.09758	16.4996	15.92766	20.72994	18.58895	16.80848	22.25573	16.97042	17.92227	15.71873	17.15094	46.29047	49.06295	45.91377	49.93149	50.05563	49.97693	48.77836	16.3207	15.18522	16.97491	17.26126	23.32885	25.02679	19.51167	29.69011	32.69832	29.19741	25.86465	27.21285	26.05468	28.69166
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	32.88393	31.46281	35.799	37.92276	19.74425	27.8511	22.04276	65.21099	24.12046	25.99405	31.52047	19.26583	23.17708	18.27605	18.91212	20.85297	18.96407	19.61975	19.57023	14.84936	18.9884	25.41474	46.16076	27.88887	30.52046	28.70371	27.52267	22.89449	45.86498	26.89608	24.53009	27.30415	27.77521	20.04031	34.84031	14.16995	13.73779	15.09347	12.88194	12.99232	9.17132	10.93188	23.16113	26.39137	15.36215	18.30048	21.15322	16.98911	13.80009	23.44294	10.2474	18.81902	22.16527	20.23921	19.53191	9.28889
k__Bacteria|p__Actinobacteria|c__CFGB1083	16.20345	16.64734	15.05144	13.09843	19.76134	17.04475	22.47486	5.53436	18.0087	18.22074	18.59053	24.34916	22.4513	22.95911	20.74903	16.49546	19.09518	17.38682	16.49542	19.54866	17.62502	11.17567	12.92468	8.35874	10.99479	16.14013	13.31763	21.797	12.80468	14.22096	19.13749	18.85647	18.57474	26.43748	14.66155	9.02047	11.81623	9.82718	8.19314	7.62295	12.41874	14.72846	25.45069	20.53195	21.15201	20.04035	24.65466	26.00588	23.06194	18.93624	25.80955	23.58895	25.31199	26.08892	23.54376	29.16754
k__Bacteria|p__Acidobacteria|c__CFGB13989	2.80587	2.23222	2.28513	2.52248	2.77426	2.51677	1.76965	1.52034	4.1182	4.2304	4.39844	4.48412	3.465	3.67955	2.42781	2.70336	2.70345	2.19158	2.13336	2.73106	2.45314	1.34205	3.67907	0.31524	0.91215	0.87803	1.08862	1.4974	2.45512	2.87445	3.09895	2.42605	2.97792	2.95644	1.86484	4.61168	3.97734	4.12024	4.54081	6.00512	5.67766	4.44325	2.11487	1.53472	1.54991	1.37711	1.71349	1.24546	1.14547	4.3611	4.6204	3.67134	3.65192	3.68688	3.2017	3.00545
k__Bacteria|p__Proteobacteria|c__CFGB42731	1.89406	2.00997	2.0472	2.24612	2.97525	2.78632	2.94928	0.38608	1.17021	1.2235	1.16306	1.51543	1.4935	1.51694	0.0452	0.05853	0.08803	0.12364	0.16398	0.15394	0.18767	0.02248	0.0006	0.01188	0.0487	0.06607	0.06699	0.11153	0.61179	0.71876	0.95831	0.96825	1.049	0.51276	0.86646	1.89186	2.21534	2.30591	2.65269	3.98077	3.93133	4.13063	0.0147	0.02333	0.05748	0.06263	0.09274	0.18658	0.1165	1.16787	1.63795	1.4761	1.33341	1.52121	1.5358	1.79727
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified	1.82499	1.89871	1.43501	1.40803	0.62054	2.4891	1.34924	0.34655	0.69979	0.56922	0.57897	0.69676	1.1303	0.9452	1.01311	1.41829	1.47075	1.30897	1.47869	0.98798	1.30672	0.61759	0.37903	0.21129	1.04599	0.44896	1.05729	0.56434	0.11532	0.1025	0.21402	0.07227	0.13999	0.23341	0.1675	3.86163	2.8473	3.60449	3.65593	4.82057	4.31726	1.62594	0.19966	0.26128	0.30056	0.26446	0.29485	0.2896	0.14836	1.03864	0.97468	1.00573	0.6881	0.74858	1.05741	0.53906
k__Bacteria|p__Planctomycetota|c__CFGB8429	1.1069	1.24286	1.09206	0.79632	0.92722	2.25615	2.05386	0.33946	1.02488	1.03265	0.87024	1.11532	1.2817	1.72053	0	0.00534	0	0.01714	0.02805	0.00737	0.0158	0	0	0	0.00547	0	0	0.01419	0.49341	0.66583	0.75622	0.64574	0.71825	0.53096	0.68871	0.61127	0.64206	0.61396	0.32597	0.39044	0.74348	1.18465	0	0.001	0.00802	0.00733	0	0.04381	0.02288	1.15599	1.33117	1.22778	1.29741	1.21673	1.64724	1.94448
k__Bacteria|p__Actinobacteria|c__Actinomycetia	1.01888	1.38157	1.01838	1.15605	2.48887	1.69647	1.12619	9.28145	3.25445	4.24844	3.86325	2.8011	3.36161	4.93238	13.2144	9.74641	8.83367	8.56251	8.5716	10.80547	10.68797	36.47232	17.51405	44.80801	30.3991	25.74186	29.3438	17.08971	10.00939	28.17635	16.80053	24.79292	21.6051	16.6772	21.48694	9.3344	6.48221	5.9848	6.60668	3.34152	2.46929	3.651	0.99836	3.1865	1.40633	1.59937	1.47191	1.1562	1.37341	2.43425	2.59722	2.45839	2.09177	2.0089	3.30659	3.84215
k__Bacteria|p__Bacteroidota|c__CFGB14294	0.94838	0.97666	0.94589	1.04458	1.2577	1.1476	1.47522	0.56793	1.41572	1.58694	1.49401	1.78192	1.58869	1.77391	1.61551	1.29686	1.07847	0.61588	0.59571	0.6198	0.93912	0.6551	0.3512	0.13793	0.23036	0.26986	0.29702	0.37327	0.62008	0.74025	0.83566	0.66472	0.84958	0.69965	0.55719	2.29929	1.41912	2.09617	2.32231	2.4354	2.25347	1.9	1.12715	0.66961	0.54833	0.37333	0.55723	0.54196	0.29578	1.49273	1.75845	1.79178	1.7307	1.55244	1.62848	1.60843
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.84385	0.70441	1.04896	1.23247	2.7385	2.13287	0.6973	1.63341	0.14188	0.15558	0.15574	0.09092	0.11027	0.16414	0.79848	0.65716	0.30892	0.30739	0.26959	0.16613	0.20124	0.67035	1.20692	1.0685	0.70498	0.74933	0.65902	0.48143	0.07725	0.06718	0.03865	0.07361	0.09237	0.08796	0.06397	0.85154	0.87716	0.72643	1.34559	0.81874	1.49262	0.82733	13.86299	19.69489	29.61829	28.49198	11.35209	14.65515	29.87836	0.1734	0.22994	0.13022	0.36734	0.19789	0.56798	0.48248
k__Bacteria|p__Bacteroidota|c__CFGB18754	0.83715	0.60942	0.80921	0.80306	0.2439	1.25557	1.24034	0.26064	0.86436	0.9072	0.83972	0.84017	0.88253	1.09723	0.15423	0.15748	0.18485	0.24852	0.3496	0.30778	0.48657	0.09048	0.04077	0.00629	0.09266	0.1196	0.12224	0.2003	0.4331	0.14276	0.47694	0.05013	0.11323	0.14602	0.41577	1.32783	1.15335	1.54949	1.54196	1.76988	1.5771	1.51681	0.17489	0.154	0.22197	0.18199	0.18232	0.58386	0.32399	0.786	0.80173	0.98897	0.8896	0.97575	1.00654	1.07171
k__Bacteria|p__Proteobacteria|c__CFGB8856	0.79496	0.99824	0.83324	1.10237	1.69074	0.81274	0.99444	0.16884	0.41694	0.46101	0.42374	0.49737	0.64193	0.63328	0.92602	1.65228	1.80974	1.71157	2.5717	1.75819	2.27854	0.66774	0.02099	1.05991	1.11754	0.86715	0.75624	1.33623	0.45242	0.59001	0.44633	0.68939	0.49921	0.39157	0.56305	1.96683	2.36922	2.13571	3.00546	2.44552	2.31615	2.3494	0.88585	0.389	1.02464	1.02574	1.79232	2.20256	1.49617	0.49637	0.51635	0.56294	0.52272	0.56892	0.68605	0.63778
k__Bacteria|p__Proteobacteria|c__CFGB8596	0.58375	0.63489	0.43138	0.38612	0.57313	0.40641	0.4594	0.31008	0.99602	0.8587	0.6439	0.81315	0.7457	0.68707	0.90931	1.24462	1.26301	1.72674	2.04965	2.13029	1.68604	0.80854	0.37472	0.67204	0.7208	0.69917	0.88624	1.05737	0.83252	0.92113	0.95682	0.88399	0.86678	1.80546	0.5219	0.45301	0.40395	0.31651	0.22749	0.26497	0.31756	0.3038	0.89357	0.68569	0.81769	0.8113	1.17562	1.12381	0.87186	1.15202	1.10942	0.9642	0.81007	0.76309	0.74576	0.88931
k__Bacteria|p__Bacteroidota|c__CFGB40560	0.55415	0.56291	0.52278	0.40063	0.15337	0.92928	1.2063	1.1461	3.0875	2.97552	2.33524	3.5507	3.27712	3.8609	0.48783	0.54791	0.67891	0.83768	0.97916	1.15141	1.14885	0.21727	0.12212	0.05538	0.37713	0.42731	0.54717	0.61823	1.11208	0.77995	1.57619	0.32497	0.65009	0.63918	1.19791	0.3254	0.23107	0.34494	0.18243	0.23464	0.33575	0.42998	0.29639	0.22673	0.27918	0.3399	0.86252	0.59152	0.35437	3.43138	3.20768	3.73265	3.50227	3.27266	4.14795	4.46444
